City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,afaahiti,-17.75,-149.2833,25.93,86,94,10.95,PF,1712917089
133,bembereke,10.2283,2.6634,32.44,45,98,3.5,BJ,1712917089
134,taghazout,30.5426,-9.7112,29.43,37,4,1.47,MA,1712917089
135,alo,7.4178,6.7371,34.02,51,91,3.58,NG,1712917090
136,fale old settlement,-9.3852,-171.2468,29.78,73,100,3.76,TK,1712917090
137,xai-xai,-25.0519,33.6442,23.56,67,48,5.45,MZ,1712917090
138,constantia,44.1833,28.65,24.38,61,32,6.18,RO,1712917090
139,east london,-33.0153,27.9116,20.22,48,27,6.95,ZA,1712916907
140,trollhattan,58.2333,12.4167,9.66,96,75,3.6,SE,1712917091
141,lebu,-37.6167,-73.65,9.05,84,2,1.51,CL,1712917091
142,colac,-38.3333,143.5833,11.76,84,91,1.93,AU,1712917091
143,lerwick,60.1545,-1.1494,10.0,83,65,12.06,GB,1712917092
144,hermanus,-34.4187,19.2345,19.89,50,25,7.24,ZA,1712917092
145,lompoc,34.6391,-120.4579,11.23,97,100,1.54,US,1712917092
146,buala,-8.145,159.5921,27.4,77,100,1.35,SB,1712917092
147,sinjai,-5.1241,120.253,25.99,86,79,0.53,ID,1712917093
148,bowen,-20.0167,148.2333,24.28,67,25,6.39,AU,1712916879
149,rio grande,-32.035,-52.0986,20.15,61,100,7.17,BR,1712916827
150,mawlaik,23.6333,94.4167,37.84,13,77,2.2,MM,1712917036
151,tralee,52.2704,-9.7026,13.14,88,75,7.2,IE,1712917094
152,ivdel',60.6911,60.4206,7.88,90,88,3.58,RU,1712917094
153,la cruz,23.9167,-106.9,18.78,69,99,2.12,MX,1712917094
154,tingi,-11.3,35.0333,19.25,96,100,1.04,TZ,1712917095
155,sogndal,61.2283,7.1003,9.21,81,75,1.03,NO,1712917095
156,puerto santa,-8.9906,-78.6456,21.02,87,99,3.17,PE,1712917095
157,nar'yan-mar,67.6713,53.087,-9.38,94,100,8.05,RU,1712917095
158,susuman,62.7833,148.1667,-8.34,90,16,2.24,RU,1712917096
159,osvaldo cruz,-21.7967,-50.8786,21.51,79,85,4.95,BR,1712917096
160,kingston,17.997,-76.7936,23.98,90,61,1.46,JM,1712916920
161,antsiranana,-12.2787,49.2917,31.24,65,24,3.41,MG,1712916947
162,mocimboa,-11.3167,40.35,28.48,80,100,5.36,MZ,1712917097
163,puerto palomas,31.7667,-107.6167,16.28,17,92,2.7,MX,1712917097
164,mata-utu,-13.2816,-176.1745,29.18,80,34,5.79,WF,1712917009
165,tame,6.461,-71.73,26.5,42,100,2.37,CO,1712917097
166,bilibino,68.0546,166.4372,-10.87,87,99,0.8,RU,1712917098
167,ilulissat,69.2167,-51.1,-6.99,79,75,2.57,GL,1712917098
168,cestos city,5.46,-9.5828,29.61,70,100,1.73,LR,1712917098
169,bafoulabe,13.8065,-10.8321,38.69,19,89,4.74,ML,1712917099
170,ad dilam,23.9915,47.1627,31.23,19,20,5.02,SA,1712917099
171,thompson,55.7435,-97.8558,-4.8,98,100,1.79,CA,1712917099
